Compound #,InChI Key,label,Cortex_Control,Cortex_Control,Cortex_Control,Cortex_Control,Cortex_Control,Hippocampus_Control,Hippocampus_Control,Hippocampus_Control,Hippocampus_Control,Hippocampus_Control,Cerrebellum_Control,Cerrebellum_Control,Cerrebellum_Control,Cerrebellum_Control,Cerrebellum_Control,Basoganglia_Control,Basoganglia_Control,Basoganglia_Control,Basoganglia_Control,Basoganglia_Control,Cortex_LowDMSO,Cortex_LowDMSO,Cortex_LowDMSO,Cortex_LowDMSO,Cortex_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO
11,BRMWTNUJHUMWMS-UHFFFAOYSA-N,1-Methyl-L-histidine,14320520,22884532,23770204,17768148,118995,612784,10539584,6752873,7476336,19059036,25595050,1814841,14638414,2428040,24211244,10291294,25121124,19174672,24298928,6383278,22715032,28799762,16504830,26038532,18479238,20073912,32474676,24304028,17106648,29143570,18361572,6275581,35511612,29878858,21819186,4364002,21650088,21330008,22859666,967885,6530730,1568349,16436742,16430056,14584356,5592208,32337464,22082212,5376642,18221148,20763416,16489488,12084696,24613898,23026306,463327,366033,13642370,24361252,9962712,19699868,15309578,24291226,179821,9991682,11967625,19761104,16968292,15381754,9122901,9796294,9081725,24014648,20074254,5757792,27360172,5059299,19050836,1732120,20443280
12,CBMYJHIOYJEBSB-UHFFFAOYSA-N,"Androstane-3,17-diol",1504192,378756,1554468,4130304,1122093,476957,596518,1123582,1253979,1982224,3260350,1245560,1931866,1274951,1702727,2134685,1388162,1377735,1078921,957388,934189,979526,2908232,1755826,1778371,2950948,3101956,2082614,1251398,1379999,1379584,1876150,2949448,1320180,638933,1161388,1831528,444431,3319991,884576,1417154,3915067,1551257,1151954,2566709,1502065,2941604,1985262,4166207,590380,646825,1687525,561529,588102,734322,2043261,2406494,6157690,2598531,3849485,2206031,1545276,2358444,956928,1317383,423484,921503,2973894,682712,3382279,6227916,1928917,3439562,1144728,1411652,2501170,1309780,1003882,843440,1713091
13,CIFSKZDQGRCLBN-UHFFFAOYSA-N,3-Methyl-1-cyclohexanecarboxylic acid,973542,1085162,2236898,1137618,940163,1271668,1043841,1075678,971690,2189284,963645,858951,1070318,1017553,1455851,1891289,981260,2510936,991568,1843247,1016390,1449081,1073551,3507629,913995,1222809,1518308,968892,2749106,994305,1237181,1105367,957495,1142176,749041,1026500,834517,2484920,895525,846508,621298,1018474,813845,1086199,3202584,1117124,1428334,1038301,5167330,1037016,639877,984728,860010,984608,1057689,3311305,2523792,1868538,1009997,953217,702871,2811834,2388746,1156933,748780,862852,644736,3051304,794080,540639,822440,800504,3675618,2084072,691424,1457620,321805,668552,1180707,690943
14,CKAJHWFHHFSCDT-UHFFFAOYSA-N,Asp-Glu,63646,126866,132602,92322,114874,55166,70808,93578,177089,114418,65963,73504,59035,120876,100733,139831,153037,136450,155267,170822,90484,148845,144047,92010,168374,128780,150697,128598,147682,111662,106422,109084,68637,162644,148673,132347,174271,151487,161507,142721,100662,182279,116233,257020,162034,109072,181972,204554,164162,117000,117100,135878,57836,144720,88899,133145,100630,117615,140599,153180,145492,151571,272019,94943,113382,129976,163707,170893,169162,50322,179652,103860,213496,49736,168503,203180,101667,100483,132859,160212
15,CKTSBUTUHBMZGZ-BBVRLYRLSA-N,2'-Deoxycytidine,49571351,62653808,63655724,59781058,68016138,62469620,49865034,109386152,117960071,47084421,42433572,45782068,39398404,75021775,63947613,24986724,23181344,20395736,35315228,39386033,69896844,69398703,86164642,63243352,77727039,100601577,97090420,52948705,90360333,83716532,71048809,76204264,27435663,26883905,39733618,33600142,52658043,8489042,65970708,44389852,65321478,98323914,82426586,77875125,82500936,49970598,123380307,101467927,122077559,96468266,78143755,69946332,66302380,92289723,82648770,58797061,26193602,41573142,53005243,37893486,100150865,62473159,89016065,89401994,59232020,84320672,71845219,102163541,107741426,88845496,96550216,101368405,90819379,99771140,62820771,110647254,22539335,47124266,77939258,29794239
16,DEFJQIDDEAULHB-QWWZWVQMSA-N,Ala-Ala,180109,213387,206914,284043,294064,147339,144068,199502,369873,667083,549312,174228,109772,77046,477419,419566,682955,330940,490988,239987,204560,243837,197768,106889,233238,33454,237633,274706,262119,281189,286358,266497,858556,639434,527088,254494,339123,46196,261552,257983,126725,237784,285026,241823,215040,174194,210300,258909,178900,245069,281655,354966,798258,321661,538901,396895,273351,316501,280237,257361,230783,210865,277885,246685,159175,137358,278721,224950,319453,163712,271399,431772,378203,199203,552128,88455,209139,334530,254638,414582
17,DJJCXFVJDGTHFX-CCXZUQQUSA-N,1-beta-D-Arabinofuranosyluracil 5'-Monophosphate,83500,274057,279690,63953,83464,105955,59338,150702,122586,47453,83317,31177,71286,102835,67960,127221,148612,177477,161974,87838,173658,135987,86922,170731,162373,227091,200361,93487,247069,196296,154978,117586,99696,187197,101858,106207,188536,188012,74714,117165,108407,259938,103168,344333,213623,125173,296723,220384,317422,475640,239417,209074,199013,143670,212348,113885,195283,114206,142919,162007,203814,316892,308669,202967,168407,183680,414789,828349,211718,114823,276676,274451,313965,243540,195623,326811,149891,183918,233634,207243
19,FAQVCWVVIYYWRR-WHFBIAKZSA-N,Gln-Ala,454046,286251,436680,497242,521121,553485,425568,420656,505587,453232,726186,667475,681644,552819,790131,648935,561102,494848,794582,537818,390842,592564,431466,421906,419793,472949,494000,772074,521619,882645,885174,598076,2064724,825886,988115,820294,474701,533674,905845,533208,440804,599744,572839,343875,302261,419877,710970,403733,396383,423792,594830,433642,453823,468965,891487,485901,486429,399505,570105,359525,344346,377038,364438,350387,268150,395973,551899,576225,585712,360918,764923,725919,763139,570182,548213,596735,697640,673631,363168,1282648
20,FELJDCNGZFDUNR-WDSKDSINSA-N,Pro-Ala,648062,685571,853634,764334,1423789,1149179,681228,1386805,2811773,988042,1619450,2093980,1951348,943863,3148130,2584519,2330276,1216626,3237046,1323400,659869,690865,911712,1046596,2512967,2824038,2832678,10695924,3137893,6369226,5350296,7208537,12622200,20795924,9977162,9428864,5410516,3932920,7216185,6460283,2613149,3904585,1854349,9377763,763454,1364100,4624641,5727456,4694125,2872756,4020015,2125866,3315306,3835339,10415132,4767926,5570993,6006690,4978960,6871158,1906745,2157612,10398400,4527578,2399024,1186184,4824497,3967195,2562430,1947105,5817886,4631352,11786414,2629391,4387062,2621084,2966170,5581348,5080826,12231162
21,FJJWGZOCZQHVEO-RQJHMYQMSA-N,O-t-Butyl-L-threonine methyl ester,219007,586490,524813,550385,640578,231641,222460,925904,1318811,631043,593838,480947,653737,675848,968647,800063,665375,536955,905951,691351,530972,761784,763700,375388,1017101,1054447,761033,937749,794633,792111,1777273,2933618,1047911,895806,747638,901661,1220784,851023,1033798,1324229,777142,1567589,1026916,1662290,1094914,877352,1108139,2065174,1484548,1285442,1315406,1266962,1473734,1913148,995527,1173634,920982,1296136,1219821,1255466,1615436,1166878,1742756,1513564,1115847,424052,981367,945200,1271422,985770,1480637,932448,1223050,1533114,1610285,1285069,568476,910664,950567,912906
