Compound #,InChI Key,label,Cortex_Control,Cortex_Control,Cortex_Control,Cortex_Control,Cortex_Control,Hippocampus_Control,Hippocampus_Control,Hippocampus_Control,Hippocampus_Control,Hippocampus_Control,Cerrebellum_Control,Cerrebellum_Control,Cerrebellum_Control,Cerrebellum_Control,Cerrebellum_Control,Basoganglia_Control,Basoganglia_Control,Basoganglia_Control,Basoganglia_Control,Basoganglia_Control,Cortex_LowDMSO,Cortex_LowDMSO,Cortex_LowDMSO,Cortex_LowDMSO,Cortex_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO
86,PTJWIQPHWPFNBW-GBNDHIKLSA-N,Pseudouridine,1492098,1134191,151623,1336018,998120,1147845,1312749,910563,885389,1307196,1043024,1015585,1066026,1105336,875339,959744,1087406,1061280,973736,943065,1164782,1018773,1115527,1337800,829850,987248,910737,910579,867020,968910,913299,976229,994657,911621,734686,950660,1078127,872654,879580,1000595,807161,714574,989237,927283,836088,872762,555745,829820,801272,869175,780322,952947,989912,1022105,664557,718592,806130,906803,829830,856922,830792,705119,1001119,762074,791258,837070,713708,409868,763194,977060,751916,866423,865272,1252611,759992,844329,708701,899994,737162,735121
87,PTVXQARCLQPGIR-SXUWKVJYSA-N,Fucose 1-phosphate,548442,1058853,1694662,580293,663875,572033,483387,645006,882180,764577,579508,467541,521971,604229,719624,586876,661465,638877,611737,679118,1088590,811245,656030,828993,786373,775642,941967,472121,633608,980089,574302,512921,757061,790082,879979,426915,716950,755314,707859,699340,699041,758936,585143,761184,679561,469186,2466298,594674,662794,630976,736250,739255,447927,760400,685554,564021,522155,602441,1402561,484237,875706,1211148,1169258,740027,718903,784614,1259040,2529863,1278856,630095,1784550,1179004,972410,1070068,938254,1531298,681764,1214484,859499,1019354
88,PUVHMWJJTITUGO-KMSFHJIMSA-L ,"D-myo-Inositol-1,5-diphosphate",29556,12125,11990,1000,1000,1000,1000,1000,1000,11589,65352,1000,1000,1000,94943,1000,11277,1000,1000,11535,1000,20496,1000,16468,1000,1000,1000,1000,1000,21915,1000,1000,243346,4289058,50573,1000,22844,1000,1000,1000,11381,1000,11845,94849,12614,1000,1000,25869,1000,1000,13648,33940,37095,17300,122440,1000,1000,1000,1000,1000,1000,1000,45189,1000,1000,1000,1000,15932,12409,1000,23618,38815,330900,1000,1000,1000,1000,17112,1000,14663
89,QHSCIWIRXWFIGH-UHFFFAOYSA-N,2-Methylglutamic acid,1359799,1841289,1540559,1629325,2991912,1654644,1177867,2607568,4993174,1179868,3399265,2315144,1558516,3471438,4257108,2633362,2337431,1659690,2966623,2028958,1332096,2169378,2108983,1442826,3932255,3346784,4310966,4122050,3997775,3631426,6192332,5170951,4922278,8067263,5292200,3074746,2267078,2457259,3733470,3155209,1531151,3065149,2009698,4981210,2660495,1615047,2840834,3731699,3445945,4438900,4796122,3936157,2647650,5371772,4536980,3086086,2681443,3311325,2930134,2682780,3484760,2290916,5156215,3029512,1955451,1596705,4071112,3478540,3472546,1634482,6160726,5674738,11212983,3110311,5870398,3744451,1469710,3177792,4359070,2925278
90,QIQNNBXHAYSQRY-UHFFFAOYSA-N,Ecgonine-methyl-ester,13185,55345,42040,54437,48596,20952,32132,89240,111784,82426,85731,83179,84420,72462,86700,99449,74215,95328,66067,75531,38431,49235,34636,50883,33787,71453,67975,72247,69282,67636,85781,51234,99698,141740,72105,72811,100322,63051,81185,90815,23393,79239,37898,39174,62742,46319,40107,47337,56599,60672,78366,86328,45976,115947,103859,51264,47593,86273,103202,85339,50771,51050,87310,73030,43548,50676,51666,27009,25594,22702,87708,76094,86554,60529,89190,45182,62651,75371,56746,90768
91,QMKFDEUJGYNFMC-UHFFFAOYSA-N,Leucylprolylarginine,31061,1000,1000,44989,54679,43697,14116,72766,44838,1000,1168356,768811,317248,319172,1245014,395366,92473,89020,56696,53871,1000,1000,1000,41632,1000,35387,1000,1112026,65284,41175,67948,353779,2375424,1248335,652230,224479,70304,16776,132979,49409,61083,1000,1000,53050,45916,1000,64347,258652,77215,34389,695195,266966,633506,130290,849514,45084,180823,451312,57124,227161,1000,104269,95666,178282,71962,33557,32498,20741,45051,1000,64682,88524,791636,251090,127830,44983,79077,159073,38014,328432
92,QQPVYRBCIRHGSZ-LGVAUZIVSA-L,Xanthosine 5'-monophosphate,1417642,2070638,1788284,66265,1447836,1193312,1234362,107883,2294454,123422,42667,1016792,101376,1570333,104783,1957474,145270,2210226,125337,2005474,34896,177285,165687,53762,134279,146559,102745,161538,80599,291927,2000434,190729,50781,101509,105504,1661090,2206730,235496,112659,1727253,105585,2228468,77056,144672,2214022,132221,110509,2553128,1763138,92877,75266,106557,125462,90878,2166441,1548225,1248444,59430,83835,94363,134003,52618,73384,1498651,66949,127616,91568,211299,125560,52885,60543,1563462,77807,52952,2309186,95361,1290446,122791,2180357,135612
93,QWVNCDVONVDGDV-YFKPBYRVSA-N,L-beta-Homomethionine,202885,856853,368461,854523,1153058,235083,476386,1961818,2582869,684046,1450029,1027559,1310541,1241970,1873769,1289049,1378239,643898,1801881,709664,892941,1231141,1480392,1033337,1240117,1247010,1069348,1047244,964406,1155798,2207800,4206288,1370512,1340062,1816143,590961,697898,792981,1283512,1182906,997571,1151730,834814,1809993,779458,660603,2881980,2549819,2316660,2121362,3098858,2122681,3233158,3427526,2394247,1194950,996108,1557678,1692219,1389100,1357840,1760314,1818071,1572647,1164407,232141,776858,788764,825021,755819,2047756,1265790,2109827,1685289,1094590,940970,301452,321587,422442,441343
94,RBNPOMFGQQGHHO-UHFFFAOYSA-N,GLYCERATE,78722,369812,989019,86831,81020,60784,63132,92354,103120,84184,77477,57080,48985,79222,81651,77216,104672,132636,91418,77604,305963,140188,114811,234404,338194,99272,113658,71825,107982,502193,96693,90995,80919,95065,61704,55041,116206,108277,70205,71575,96103,92909,83350,137171,118138,64962,1400216,150129,87272,133829,132943,135317,81448,151884,85442,60851,81606,108509,366683,127321,102122,410718,120857,87624,82533,86884,206126,585247,121188,56825,1112760,221104,202574,310622,98609,194609,86323,110062,95099,109972
95,RBNPOMFGQQGHHO-UWTATZPHSA-N,Glyceric acid,383201,1432771,2740928,273060,271729,255207,273349,354128,507957,332113,234322,251040,200165,251364,251423,254667,359973,423293,277872,319660,136892,400916,390941,795836,85673,338004,393178,231474,415367,1570237,80592,233824,406910,254268,200065,198595,343553,298114,243511,236375,379149,396814,358978,439475,521955,287198,179255,92219,302693,382928,347868,498233,223470,438266,268071,233959,268791,409695,127577,345572,445248,130417,361890,59788,277136,321793,560376,116032,415233,234167,172165,498778,595238,112586,467744,739445,304352,328671,58251,369834
96,RCNSAJSGRJSBKK-NSQVQWHSSA-N,Biliverdin,450987,414253,571190,611971,988531,731062,605883,1004998,1188622,262131,1432426,1300430,1369115,1217456,1177284,431983,627651,390982,926592,975664,365388,486411,1462485,920566,396623,601558,494026,1684599,332703,637911,1348140,2043132,2400178,481796,1453746,288139,228670,215424,1083512,288054,27214,217115,312172,1000,267397,160979,179199,345413,159467,371401,396919,900542,361277,458539,666859,220091,160467,249648,260187,195821,415195,230815,53171,199662,49187,1639538,1282252,630064,2053434,967009,3360902,3249442,1190049,1996893,1871165,973435,64230,1355494,1296679,1291158
97,RCRCTBLIHCHWDZ-DOFZRALJSA-N,2-Arachidonoylglycerol,273184,380427,231634,378664,466069,591855,448041,852249,1002286,370100,483325,811422,999463,327625,902417,740252,740033,714260,753051,607715,401303,567248,593987,325469,333095,681036,684804,582560,507511,756180,577369,499750,394116,594901,1596459,599597,517830,671067,569557,821137,448996,700011,750001,163247,403654,235255,539444,780787,477992,346819,637309,791170,835408,1182380,870803,819255,638428,1037151,903695,821936,1095927,665600,325252,657825,562943,773775,627577,381805,1033028,1032341,634523,421117,180884,676505,1037917,705720,359821,699662,777546,684878
98,RDPUKVRQKWBSPK-ZOQUXTDFSA-N,3-Methylcytidine,1729132,1257444,1378741,1697794,1917384,1277424,846120,1481976,1980883,1763648,1332010,1805971,1195274,1983502,1468613,1873528,1514284,1248311,1472466,1726708,1083875,1153820,1643570,962500,1591429,1228403,1312551,1899013,1332999,1235938,1658888,1712510,1701062,1290958,1464703,2045760,1897778,1475929,1618706,3095450,1041660,2111701,1370454,1807855,2200844,1045126,1132496,1993640,1732706,1793319,1614147,1733634,1536506,2231697,1170793,1948814,2380784,3140020,1475635,2393894,1874518,1552225,1659634,2192648,1478625,899842,948469,599212,1121464,967301,1572383,1260908,1263292,1247880,1436566,1124556,908619,1120447,1497814,1184825
99,RNBGYGVWRKECFJ-ZXXMMSQZSA-N,"Fructose-1,6-bisphosphate",5004,149.5692505,149.5692505,9112,149.5692505,3275,4692,149.5692505,149.5692505,9110,1521,5628,149.5692505,149.5692505,4255,2714,9598,149.5692505,7617,149.5692505,149.5692505,149.5692505,6678,149.5692505,149.5692505,4633,1765,149.5692505,11577,149.5692505,149.5692505,3308,772486,69783,12653,3551,2048,149.5692505,149.5692505,149.5692505,12813,149.5692505,11010,149.5692505,10030,4871,149.5692505,149.5692505,149.5692505,149.5692505,149.5692505,149.5692505,4061,149.5692505,4118,149.5692505,149.5692505,4547,149.5692505,149.5692505,149.5692505,149.5692505,6419,2955,39751,18123,1697,149.5692505,149.5692505,149.5692505,149.5692505,149.5692505,149.5692505,149.5692505,149.5692505,149.5692505,1616,149.5692505,149.5692505,1496
100,RNKSNIBMTUYWSH-YFKPBYRVSA-N,Pro-Gly,5122109,4193212,3247303,4190796,11037430,8750591,3506093,10430614,16119429,6861067,10171241,16196176,12644459,9091528,19651412,15003196,9934026,8721020,12717030,10708014,4250736,6908436,7228874,6049508,10316062,9076530,10677370,28316756,15878648,13252981,15956238,15093517,25440580,30250900,24129596,33065104,14192220,13367258,23631524,28145968,7024334,10861429,5067896,12065900,4891692,6150356,11828327,13499984,10366710,8253630,15215329,12046800,7001182,9845285,17124020,20783098,18713368,18895576,15381996,20437154,7687494,9252802,14675758,14093250,9049863,6070635,10200576,11842706,11427384,7445600,11079732,8780793,21318614,8005078,15655298,12140373,15679354,15466634,15583472,25142190
101,RQNSKRXMANOPQY-BQBZGAKWSA-N,gamma-glutamylmethionine,35393,99212,111180,54763,60451,25433,17452,91804,105330,41846,59744,41365,25761,31475,47849,97260,65748,63804,45699,46960,49565,56506,57929,56676,58169,48689,84356,119872,91359,135076,100651,79472,107502,75276,51558,85607,79187,70852,88418,90399,57742,65586,45440,52987,77369,20328,208703,129527,82167,73712,82267,137391,63564,65250,49988,120340,130153,198541,233863,171186,59051,207796,93112,121779,60407,3497,30566,46148,27913,7980,28009,17414,30581,25498,20878,35967,38482,32008,17805,40940
102,RWCOTTLHDJWHRS-YUMQZZPRSA-N,Pro-Pro,529866,593744,548733,659419,1106150,472750,185801,1021437,1512727,444648,1117147,1343421,1099063,1008456,2229333,1217772,949260,844570,1324659,1175946,634470,1054242,1138813,849287,1395269,1127508,1019154,2469754,1197782,1141956,1557292,1597450,3278679,5036924,2842678,1782482,1421066,979154,2095304,1996940,625693,1128952,636761,2372276,941703,422452,1733537,1714440,1397940,931380,1698371,1628501,894286,1751918,2364545,1523544,1486206,1529662,1424172,1588172,1429603,1196073,3418173,1403944,793749,640246,1434186,951745,1335982,880343,1703693,1319681,3983645,1053111,1830606,1816762,680267,1491068,1733169,2322889
103,RWFBQHICRCUQJJ-TVKKRMFBSA-N,trans-Nicotine-1'-oxide,2500793,57092,42037,37157,15644,332699,51720,20782,73844,122553,75656,36867,32538,581632,96050,87824,106009,133458,28680,98018,137327,40969,23760,116308,83367,54803,29308,38242,117509,40267,1293085,177037,48086,1873916,242521,36701,34020,338516,52554,177789,510783,39257,35549,369149,46910,1432398,22604,2226105,39756,185840,80475,78922,396235,57738,394881,221929,41920,34549,44160,24299,40466,32370,35765,1047551,27612,255324,140912,38741,58734,19835,13064,1660961,209638,1661275,25738,61067,27831,59667,53351,813934
104,RXECVCDYORIBBT-FNORWQNLSA-N,4-Hydroxynonenal alkyne,4731864,4356522,4070930,4567930,3764265,5348834,4216838,5391541,5535662,3948621,3164586,4747170,4830612,3961319,4556638,4653607,5582820,5562264,5401131,4178240,4213106,3920562,4572398,4470269,4076056,3377518,2671464,3015455,3058847,3706018,3426011,3209516,5232175,4394326,3808898,2930636,3182005,14673817,2922453,2847313,2941879,3408190,4089138,4632355,3186054,4314864,2359309,1695222,3332882,3251134,3620610,3057505,4015552,5964002,3851988,3632160,2859199,517970,3883562,3977457,3997050,3383668,5555061,3162776,2701396,3843249,3188426,4564976,3439734,3457224,507734,1282610,6345636,5019882,3523730,3733676,2619105,4288152,3879970,4649078
105,RZZPDXZPRHQOCG-OJAKKHQRSA-N,Cytidine 5'-diphosphocholine,5144544,6851746,6262248,5561055,8180359,4334547,4088994,7525194,10684980,4457567,9967779,7253008,7245327,9839203,14079344,8710622,6629749,4107405,6457099,5530842,5018036,7592580,6821842,8065770,7310692,10394931,8361105,8381809,7993680,8916995,8857661,8381041,12636675,23846610,17446636,5385598,7541960,4189900,8121487,8993531,4883890,6287962,2897030,12186073,4510826,2512512,14234962,11159045,9561698,10762532,11059417,7599164,6462877,12539715,12714469,6099537,5696009,7970447,7002675,5816486,7970366,8080606,21912168,9925358,6489614,7852930,11865668,10334814,9816470,3652401,15333718,12068598,29586000,5645920,8313127,7628498,2929719,7365066,10016348,8226664
106,SCCPDJAQCXWPTF-VKHMYHEASA-N,Gly-Asp,689450,347641,645569,435847,531206,642522,599935,406961,376449,403617,466498,525204,494089,477099,390645,439325,464852,503544,417302,457326,374896,486582,343710,405908,398397,364321,401971,475886,441991,427303,411030,456168,592758,472580,414187,598217,567930,380263,460814,669961,337721,446498,426595,641777,417642,541277,665363,399790,426524,442189,432589,462349,496572,407305,466539,471124,587885,407160,388876,413665,389337,419916,517814,645623,379910,346029,479494,817349,398050,463211,476790,454078,429442,275616,397260,470859,505185,472558,545252,473905
107,SIFXMYAHXJGAFC-WDSKDSINSA-N,Arg-Asp,220688,323453,355785,281372,509301,282135,172729,403586,584048,346407,686632,613460,525056,1136872,1205762,511574,579688,452904,626000,585412,343771,435976,429611,361937,600625,585412,565616,1182778,581362,671776,1057660,1664552,1954037,1837684,1444290,754534,639375,500751,652294,677405,319099,639058,306552,905689,472041,292450,738654,766794,620482,615264,1323786,892256,773129,1250260,1612138,648895,635090,694216,653451,779552,550717,482713,828896,682183,362863,644082,803024,682327,689710,236671,1895074,1652770,2550521,823429,988125,607338,336630,605942,612091,920384
109,SSISHJJTAXXQAX-ZETCQYMHSA-N,Ergothionine,31413,75545,22307,74819,84534,53942,40965,96001,92648,160428,74609,75373,70045,51837,79276,101694,71954,107197,65367,94551,63197,58415,46107,91408,47633,85341,81071,115805,70068,61697,46546,56919,117443,136138,136296,72079,66278,121969,114459,101496,56360,77324,105983,35538,65368,63914,189955,135376,89044,64837,38800,72221,81879,41945,101899,149784,74268,86430,241276,106646,61683,138893,132229,69845,62502,45516,153585,81696,86544,75622,39667,57328,61914,66936,129045,138953,97250,119529,109502,116279
110,SUHOQUVVVLNYQR-MRVPVSSYSA-N,Glycerophosphocholine,6592151,8455600,1761730,6717722,3937565,3012618,4349262,7629473,3814008,10311593,7479131,9281108,4397276,5486106,9849721,5702297,7586118,6820177,8293268,6430517,7865749,2114914,5982343,16855378,6932683,4974010,4833280,6335090,4712062,4612410,3720342,4402550,5311859,1566781,9763570,4188622,5555838,6465779,6552237,1717852,6391597,5967255,8135429,2941476,8284178,5730027,9460425,3078455,9259912,6390314,7977608,5858650,34435986,6394672,5723766,8199378,7240714,6598789,7582653,7214682,1906135,10884479,5166929,2371799,10825886,6257128,6722174,4543749,4617674,2161841,4239767,3992940,1300765,4502476,4321974,4757540,7481047,6497831,2329004,7259432
111,TVNYLRYVAZWBEH-FNORWQNLSA-N,4-Hydroperoxy-2-nonenal,1355024,2068053,5867105,1766758,1405394,1043571,893967,1499884,1890086,3779187,1053382,979516,1187598,1069118,2221912,939186,1724609,1432070,1424077,1123869,1463399,1137521,1732600,1533356,890591,748707,1274448,1636861,1049412,1197520,1345286,959878,2767896,1696920,788064,730002,855243,10839618,1061537,865536,548400,1878157,2107556,1971089,729568,946642,3434828,2473653,932817,1463962,2190927,964470,1444052,863099,1317995,842316,870820,1054362,2042502,1348796,878187,1222441,1426436,1610754,858801,1174714,914444,1259983,1413958,926561,1023146,1136506,1648171,1561974,1225678,2353062,525460,1163802,975262,1095160
112,TWSWSIQAPQLDBP-DOFZRALJSA-N,adrenic acid,382924,347293,472756,204241,262552,1155281,543610,550105,580828,442381,286854,917058,646027,839433,454070,301201,498033,770224,358861,568657,834789,476278,325010,702988,119555,150526,200510,175671,129343,225980,160987,153494,139125,148918,127194,93973,143091,318124,112279,137380,174016,197703,184336,159260,99120,68179,347768,203142,82460,65498,106179,179472,259173,219068,152539,166877,132767,89917,235634,160785,163046,190160,71793,120190,89171,675017,109689,249298,129086,117757,299297,229035,229009,436387,256251,237630,150102,146683,124481,356095
113,UBORTCNDUKBEOP-UUOKFMHZSA-N,Xanthosine,234482,666742,39607,403653,310644,165313,119190,220632,333475,403902,196024,136758,153457,502761,242301,433971,437773,512610,278017,288277,479543,207611,287952,376260,309652,305931,314181,524456,160879,451487,759576,386839,269509,84396,132005,341776,236133,434961,299194,285239,354269,365947,445524,403245,531398,301531,1236228,534653,404649,413181,754021,735744,176435,961564,83072,405349,688877,1030262,1383901,585282,503110,1087172,311594,332522,318351,97565,197362,145129,135040,168581,529772,403940,203320,603278,203923,152180,149291,143718,118602,206499
114,UEFRDQSMQXDWTO-YGPZHTELSA-N,3-Hydroxybutyrylcarnitine,6146340,8423463,6195175,7565462,10921122,7025919,6363638,20402188,21954822,8639262,12517544,17451476,12707981,14850151,17779424,11211928,9659740,7886578,10248014,12062845,6602590,8402371,10686006,10163706,10924597,15834168,12303041,19483700,11396655,13895358,11519844,14548094,28840564,22612204,24239712,11883752,12095146,12261923,22877128,12653463,3219154,7196042,5407937,6022743,4409659,2941770,9687658,8286712,8515114,6463116,8071680,8140183,8101784,9929171,9003662,9919044,6086316,7675982,18861658,8306496,9519252,8838822,14881054,9604562,8657541,6287922,8439842,8818669,9871068,5415218,11056346,8307970,14316612,9495521,13551206,11499610,6996579,11638412,8947124,15408407
115,UKZDIMBDWHZXOK-UHFFFAOYSA-N,Isocitric lactone,2658074,2519231,5437193,2559287,2514067,2485720,2978218,2656893,2331913,1607084,2479453,2817384,2636049,2623567,1928276,2217369,1921175,2962048,1910597,2111878,3109481,2817286,2058018,3777429,2721254,2267702,2673736,2303146,2370281,3477823,2118232,3018856,3611459,2660940,2347343,1933721,2143644,2532158,2137767,2449479,1721157,2138049,2158492,2350287,1796688,2466394,3755070,2130356,2576666,2615562,2203516,2423562,2623222,2307211,2069786,1654590,2153019,1987302,3429997,2332234,1793726,3193559,2655824,2280875,1825153,1727016,2786682,5895385,2201971,2151456,3875367,2939808,1995253,3439755,2021685,2542373,1700451,1854800,1877381,2154051
116,UNXHWFMMPAWVPI-QWWZWVQMSA-N,Threitol,610617,1043610,904592,542699,625170,473624,500041,818736,527563,206474,429350,339142,291763,563992,581523,253736,326719,843629,421141,668536,784319,1625709,1588883,476135,1903799,743092,1259249,635124,2060571,1113160,545850,387543,675731904,900067968,362494,461790,660833,501212,461617,928948,380511,901337,623378,7338116,940764,457008,2277006,1357781,615854,1186649,637889,506810,207099,877588,365976,257442,326921,508630,782585,979301,737904,642443,3212280,468400,367610,606811,835748,849206,561513,379912,1377282,703032,4426027,369055,410916,1213153,325986,674654,557913,396859
117,UOOOPKANIPLQPU-AYZDMWBASA-N,Cytidine 3'-monophosphate,177529,305668,280927,210450,234595,206460,188456,312279,354221,207705,254517,234311,195746,269003,245060,224363,290127,269351,184466,211434,248329,238705,188396,287030,207814,270216,302029,209916,240864,363131,237775,274083,220832,271476,265992,188113,221979,237416,201978,201951,231158,306918,281165,278704,280783,233588,601231,355741,334650,329345,370275,313475,305963,358689,316529,222408,247447,325062,344766,277597,260936,378252,277214,299200,209200,243133,327759,628349,221920,236140,441188,284222,358514,430408,245298,372654,216762,188318,268436,233598
118,UQHGAYSULGRWRG-WHFBIAKZSA-N,Glu-Ser,331660,528261,850490,360819,380191,316746,234871,459583,587025,465095,397089,359836,261735,322022,416543,407240,471630,486676,385045,405975,472009,410281,331151,384478,388959,374157,516159,526906,561945,762382,562774,494515,490732,472491,395313,415763,643704,339756,440537,518833,389042,569592,497042,376632,555609,247873,988354,722253,445051,467617,512577,860536,439554,530227,468122,571503,491560,1160724,1016822,716100,613540,1076591,618689,653068,489727,331359,372927,518852,448221,242448,585057,397925,425583,403956,526701,520533,466950,492561,361903,455691
119,UWMIZBCTVWVMFI-UHFFFAOYSA-N,Asp-Ala-Arg,288710,641886,535921,516244,496083,419379,459508,633482,729697,517447,2406061,1300259,1254529,3813897,2324530,598617,688690,600004,733712,518206,340987,645490,715734,773709,550897,678656,728520,1117006,680646,656119,2863167,3659378,1376616,1149936,1799957,552348,571442,501361,1068070,700376,424900,655654,563813,676461,570418,398439,891363,572432,644475,870298,4506922,2274816,1539418,3962152,1577920,708634,517834,711263,780930,505762,749554,735804,755922,675663,468663,868450,1316531,758970,645921,422200,4351979,5515101,5705316,3554783,2299261,899678,488174,699680,441560,732144
120,VDYDCVUWILIYQF-ALKRTJFJSA-N,S-Lactoylglutathione,25678,1000,1000,17766,38020,34732,150389,661314,1610626,199626,107519,1000,71249,16033,383806,587574,642724,53548,202892,36991,51367,200681,574086,659489,288543,167875,49005,1000,18393,16558,1000,1000,788336,468816,822332,46227,113650,383507,673805,14472,511898,1000,14265,1000,1000,1000,47606,1000,28672,1000,1000,18388,1694483,675758,1030511,529437,91745,1000,1000,1000,268071,1000,1000,1000,1000,83446,204092,240327,1024763,343351,439545,564151,50215,323689,1544572,348275,169327,784821,956500,951478
121,VEYYWZRYIYDQJM-ZETCQYMHSA-N,N-Acetyl-L-Lysine,1375880,1506546,56810,1870635,1290806,966945,1045643,1606905,1886738,2760197,3209300,2499532,2777126,1524466,4130771,2080978,2805529,2445956,2861971,2270821,1699108,2585900,1888890,2020918,2167575,2174506,2201740,3189788,1922636,2070138,2266092,2249808,5492068,7309310,4373372,2194170,2858074,1755512,2579356,2103418,1173691,2176908,2352972,2876868,1872293,985302,3286449,3020718,1921996,2316594,3342002,3779920,3646223,3361706,5019168,1934483,1822658,3472456,3388310,2882332,2377710,2109335,2697409,1061400,1441436,1229360,2485756,2273927,2406886,1219583,2020649,2121410,4504758,1783995,2273353,3050765,1669597,3187674,1133726,3268037
122,VVPRQWTYSNDTEA-LLVKDONJSA-N,Hexanoyl-L-carnitine,511823,1441174,621785,728038,1230026,421154,580568,2313099,1633200,670359,689228,622842,795346,1318402,708570,706094,857814,584258,715804,568198,870516,696118,1030031,1315826,1019427,621872,586107,881966,514761,561969,933498,2429374,756613,385472,981141,411336,640968,645732,855868,623818,496887,487678,708328,594379,704067,289014,1964131,732442,1848484,1253808,1019005,540465,1268148,1674086,639230,402665,385474,457224,1252722,606975,715573,953271,837190,601099,743171,289953,600576,490038,479735,549081,1520520,1306716,1233076,1456954,519178,620510,374605,360809,271188,479207
123,VWHRYODZTDMVSS-UHFFFAOYSA-N,3-Fluorophenylalanine,1255160,3896200,1974030,1619575,2107810,1340869,1077654,1846971,2683862,1972103,1811864,1881314,1343883,2054744,2406438,1948740,2256284,2371216,1803434,2533256,3168794,2472789,2563537,1823639,2547662,2154728,2325574,1965070,2365218,4055186,3009672,2117064,599326,1719403,1570813,1542421,2217522,1823409,2099769,1278178,2083919,2102680,1876168,2004771,2649842,1997987,4464060,2953132,1813137,2152628,2520419,3065327,1281037,3105531,2211914,1671685,1719243,1939753,3302127,1817318,2281614,3621113,2021102,1231649,1524852,2048465,3708098,3698194,3214107,1508241,4797568,3178428,4022294,2918916,3737999,4160788,2482891,2489579,2299416,2546895
124,WQXNXVUDBPYKBA-YFKPBYRVSA-N,ectoine,156514,154152,168657,119518,990089,149584,127752,162386,204897,159481,144780,129900,192789,153711,225123,175618,116541,164454,155159,151342,179406,123462,153104,95922,155991,163511,201080,135138,142376,118330,160296,145941,162890,183403,151653,153683,127545,147088,235210,123205,114236,141093,99149,209726,150739,175687,159710,131200,153748,163082,142628,144045,111585,131716,142621,152035,145011,122753,149444,148889,147271,145617,187782,115640,135609,128775,154426,130851,179245,131173,176286,149078,172522,102423,144505,110563,90595,148783,148330,117906
125,WVIMUEUQJFPNDK-PEBGCTIMSA-N,Cytidine 5'-diphosphate ethanolamine,789525,1548553,2817282,786532,1049963,828772,718931,1239611,1476531,807365,1033883,844963,805658,952165,1146540,1076077,1138529,1066311,1040600,1021750,1501233,1310588,1038654,1355756,1147412,1107814,1278946,1106802,1308965,1810721,980942,890680,1493699,1544759,1232219,724681,1282189,1025407,1215955,1217015,1119510,1130442,839829,1196052,1065660,645719,3030360,1233306,1158834,1147160,1280742,1222575,963589,1371212,1419459,984952,1113699,1149434,1747516,986353,1134274,2018114,1511559,1078544,1019737,1181107,1779839,3388620,1370473,652234,2205156,1453807,1700182,1117064,1350602,2018302,1155112,1400975,1408285,1519576
126,XAEWTDMGFGHWFK-IMJSIDKUSA-N,Ala-Asp,289005,147392,180258,247838,268149,227176,153786,199960,202687,225085,416250,319537,285715,511856,367714,188252,226315,304473,235008,213636,223946,309322,247911,156379,183127,283150,284475,263818,223771,232408,544006,554454,467062,369953,357795,263661,346857,201609,310544,320080,213712,275674,301082,349960,226948,267890,272067,213743,253023,255142,560801,542256,324926,446274,331771,261142,211849,200576,234461,166271,222334,208098,327790,314340,223282,283455,402895,298778,270023,257348,401990,715829,796201,457984,330754,286163,249592,257633,266083,240369
127,XIGSAGMEBXLVJJ-YFKPBYRVSA-N,L-Homocitrulline,5826168,8090091,5162863,5397612,6618691,5420423,5301404,7198621,10168556,6040917,7559203,5824597,5406988,5714196,6907662,7283225,7005923,7559491,8423923,6857444,6795466,6348660,7712131,6650627,7569913,10320812,9951465,9116608,11342304,8863753,8779703,6059511,8394153,5679074,7787204,6651327,7656806,7504802,8262367,5991868,4523018,3865132,4568786,1244547,6631899,3231949,8839905,5407315,2706646,5831258,4641110,3204490,1743691,5304958,4461727,5084278,3797296,3350039,7353066,3011046,4725888,4180333,4151640,4229793,4223035,5317400,4806089,3500774,5664904,3148328,4854151,5242272,564405,4007805,4533888,4928601,1924220,3970402,4621766,6099515
